종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"0132K0","PLUS 테슬라위클리커버드콜채권혼합","9300","-45","-0.48","9312.53","9295","9335","9270","206722","1921465260","102765000000","0","11050000","Akros 테슬라 위클리 커버드콜 채권혼합 지수","2848.99","0.00","0.00"
"0000J0","PLUS 한화그룹주","40185","-440","-1.08","40237.21","40795","41090","40080","158206","6369845531","269239500000","0","6700000","FnGuide 한화그룹주 지수","8411.33","-87.09","-1.02"
"148020","RISE 200","87410","-2615","-2.90","87537.83","87265","89050","86900","1442048","126706628023","3251652000000","0","37200000","코스피 200","862.47","-26.10","-2.94"
"361580","RISE 200TR","49060","-1530","-3.02","49111.65","49085","49985","48760","285062","13998955533","419463000000","0","8550000","코스피 200 TR","1138.36","-33.75","-2.88"
"290080","RISE 200고배당커버드콜ATM","8160","20","0.25","8187.97","8140","8190","8125","6167","50285762","13872000000","0","1700000","코스피 200 고배당커버드콜 ATM 지수(시장가격지수)","1136.80","-9.36","-0.82"
"284980","RISE 200금융","21995","-245","-1.10","21949.95","21620","22220","21620","10577","231137219","26833900000","0","1220000","코스피 200 금융","1664.34","-19.01","-1.13"
"252400","RISE 200선물레버리지","82010","-5460","-6.24","82063.53","81525","85255","81195","25401","2103486480","82010000000","0","1000000","코스피 200 선물지수","4241.83","-133.11","-3.04"
"252410","RISE 200선물인버스","2070","65","3.24","2071.71","2085","2085","2030","82875","171112285","5175000000","0","2500000","코스피 200 선물지수","4241.83","-133.11","-3.04"
"252420","RISE 200선물인버스2X","253","16","6.75","251.88","252","255","243","2696691","673802306","5616600000","0","22200000","코스피 200 선물지수","4241.83","-133.11","-3.04"
"475720","RISE 200위클리커버드콜","12705","-115","-0.90","12682.04","12665","12800","12500","1738368","22073386355","770558250000","0","60650000","코스피 200 위클리 커버드콜 ATM 지수","1535.15","-3.80","-0.25"
"0122W0","RISE 26-11 회사채(AA-이상)액티브","50370","-10","-0.02","50378.59","50380","50385","50370","2076","104570150","399635580000","0","7934000","KAP 26-11 회사채(AA-이상) 총수익지수","111.43","0.00","0.00"
"465330","RISE 2차전지TOP10","12210","-310","-2.48","12197.82","12215","12440","12145","141017","1727906044","72344250000","0","5925000","iSelect 2차전지 TOP10 지수(PR)","2688.48","-60.28","-2.19"
"465350","RISE 2차전지TOP10인버스(합성)","18480","370","2.04","18623.37","18550","18570","18120","132372","2432109949","52668000000","0","2850000","iSelect 2차전지 TOP10 지수(PR)","2682.19","-66.57","-2.42"
"422420","RISE 2차전지액티브","8305","-150","-1.77","8272.43","8260","8435","8210","200510","1662540266","225397700000","0","27140000","iSelect 2차전지 지수 (시장가격지수)","5166.21","-125.94","-2.38"
"105780","RISE 5대그룹주","13260","-275","-2.03","13204.15","13130","13420","13130","19851","263178802","29172000000","0","2200000","MKF 5대그룹주","13083.50","-414.03","-3.07"
"469070","RISE AI&로봇","15335","-400","-2.54","15352.77","15400","15525","15305","444485","6831341461","486119500000","0","31700000","iSelect AI&로봇 지수(시장가격)","3462.77","-94.61","-2.66"
"0093A0","RISE AI반도체TOP10","33065","-295","-0.88","32982.70","32250","33460","32110","704843","23329698778","264520000000","0","8000000","FnGuide AI반도체TOP10 지수","6348.83","-69.97","-1.09"
"0101N0","RISE AI전력인프라","17180","140","0.82","17165.06","16695","17330","16620","681382","11654245896","216468000000","0","12600000","KRX-Akros AI 전력인프라 지수","10073.78","62.35","0.62"
"427120","RISE AI플랫폼","7025","-195","-2.70","7012.46","7120","7120","7000","12305","86658230","5058000000","0","720000","FnGuide AI 플랫폼 지수","1000.68","-29.43","-2.86"
"477080","RISE CD금리액티브(합성)","106110","20","0.02","106115.23","106110","106125","106110","8935","948154314","1489041630000","0","14033000","FnGuide CD금리투자 지수(총수익)","1454.81","0.00","0.00"
"290130","RISE ESG사회책임투자","35030","-1065","-2.95","34926.80","34630","35625","34630","537413","18846553695","304761000000","0","8700000","KRX ESG 사회책임경영지수(S)","5599.45","-186.32","-3.22"
"326240","RISE IT플러스","34530","-905","-2.55","34646.53","34315","35255","34315","18645","643755645","87015600000","0","2520000","FnGuide IT플러스 지수","4953.79","-118.32","-2.33"
